gen	time	h	d
720	7057	100.92236	31.224413
721	7171	101.15396	30.950764
722	7256	101.02464	30.79927
723	7201	100.935616	30.625677
724	7187	100.834465	30.357933
725	7226	100.73658	30.004654
726	7373	101.08424	29.783361
727	7464	101.45237	29.622593
728	7555	101.75341	29.999964
729	7427	101.75856	30.499996
730	7317	101.41781	30.705462
731	7231	101.887764	30.815907
732	7340	101.89105	30.84788
733	7223	101.91144	30.52444
734	7414	101.86259	30.21478
735	7521	102.0975	30.07861
736	7498	101.79605	29.626867
737	7643	102.17278	29.381088
738	7691	102.346375	28.929834
739	7750	102.18937	29.10351
740	7660	102.54467	28.807762
741	7738	102.70658	28.61839
742	7907	102.34561	28.14589
743	7935	101.86807	27.887608
744	7981	102.08364	27.44432
745	8074	102.45384	27.32152
746	8173	102.27384	27.409306
747	8111	102.700874	27.763794
748	8059	102.8038	28.12104
749	8005	102.86605	27.883532
750	7981	103.18167	27.920551
751	8042	102.88865	28.299314
752	7992	102.641365	28.385017
753	7955	102.9474	28.244741
754	7935	102.747154	28.734001
755	7852	102.713135	28.44092
756	7911	103.188416	28.586119
757	7862	103.31271	28.260147
758	7996	103.60866	28.686352
759	7899	103.54437	28.870884
760	7715	103.15167	29.343847
761	7639	102.958725	29.062437
762	7805	102.902275	28.890858
763	7761	103.26646	28.797247
764	7872	103.21184	29.204762
765	7741	102.87167	28.907682
766	7809	103.22692	29.204693
767	7763	103.72395	29.51746
768	7739	103.71182	29.754547
769	7593	103.31124	30.062662
770	7648	103.33218	30.47423
771	7488	103.71526	30.029137
772	7596	103.28062	30.12222
773	7554	103.40498	29.759338
774	7571	103.086494	30.035738
775	7538	103.224724	30.180346
776	7483	103.224915	29.94447
777	7613	102.867805	29.975079
778	7513	102.545685	29.781166
779	7562	102.84908	29.68134
780	7578	102.77814	29.670359
781	7645	102.29872	29.948101
782	7575	102.73205	29.828388
783	7516	102.96023	29.378775
784	7598	103.438	29.554607
785	7634	103.70028	29.646797
786	7580	103.38381	29.602503
787	7599	103.45071	29.351871
788	7737	103.40472	29.070183
789	7871	103.06288	28.965834
790	7822	102.69069	28.818623
791	7803	102.557144	28.56761
792	7839	102.155045	28.254974
793	7777	102.22816	28.069025
794	7935	102.18569	28.513407
795	7762	102.01491	28.70839
796	7709	101.80281	28.88105
797	7751	101.47492	29.126968
798	7685	101.15223	28.789415
799	7672	101.35901	28.762154
800	7733	101.374725	28.942572
801	7596	101.01001	29.110548
802	7551	100.79397	28.917984
803	7602	100.56601	28.98534
804	7582	100.53816	28.751472
805	7697	100.773964	28.63666
806	7690	100.80475	28.924162
807	7641	100.48195	28.998936
808	7687	100.19984	29.327461
809	7446	100.23004	29.108501
810	7597	100.51231	29.230762
811	7589	100.212074	29.501564
812	7374	100.23152	29.254074
813	7572	100.11532	29.652796
814	7456	99.75483	29.256052
815	7512	99.64006	29.211226
816	7419	99.272385	28.903318
817	7548	99.24464	28.98204
818	7439	99.41305	29.457579
819	7461	99.38577	29.55576
820	7451	99.15628	29.407513
821	7395	99.245255	28.951653
822	7516	99.02416	28.862183
823	7495	98.82019	28.558289
824	7621	98.97102	28.905354
825	7435	99.12903	29.17674
826	7462	98.7454	28.987783
827	7504	99.179146	28.960695
828	7487	98.95479	28.631824
829	7591	99.427216	28.262758
830	7725	99.72336	28.491653
831	7663	99.725494	28.983711
832	7536	99.93706	28.783955
833	7660	100.32237	28.31241
834	7798	100.39352	28.036259
835	7838	100.31891	28.023949
836	7831	100.03009	27.927143
837	7965	99.71701	28.0088
838	7801	100.18575	27.524643
839	7950	99.997856	27.963982
840	7794	100.23406	27.606506
841	7874	100.262245	27.392723
842	7979	100.39833	27.009499
843	8092	100.32315	27.308823
844	7957	100.55749	26.940481
845	8157	100.581924	26.560726
846	8276	100.23363	27.040607
847	8004	100.29506	27.383432
848	7959	99.8953	27.026955
849	7992	100.20903	26.754086
850	8107	100.11719	27.113691
851	7984	100.58265	27.333183
852	8070	101.065445	27.732742
853	8081	101.15061	27.926683
854	7980	101.218475	27.940376
855	7968	101.31905	27.544407
856	8006	101.01038	27.56262
857	8008	101.24544	27.066936
858	8065	100.84585	27.528223
859	7982	100.57845	27.320644
860	8037	101.0317	26.835402
861	8241	100.587746	26.600386
862	8209	100.746346	27.085472
863	8139	100.32626	27.08512
864	8075	100.277435	27.238699
865	8042	100.12935	26.746052
866	8231	100.570206	26.261644
867	8322	100.86561	26.729645
868	8271	100.728516	27.201052
869	8083	100.42993	27.008867
870	8153	100.325386	27.12155
871	8168	100.058754	27.271637
872	7981	99.63684	27.549898
873	7874	100.068886	27.286358
874	7992	100.02394	27.098896
875	7998	99.9821	27.186752
876	8053	100.46263	27.236832
877	8054	99.99084	27.647976
878	7866	99.52776	27.513012
879	7925	99.62487	27.016356
880	8080	99.218124	27.337978
881	7918	99.467575	27.282953
882	7898	99.52731	27.030895
883	8067	99.320015	27.524345
884	7919	99.53943	27.143147
885	7989	99.3263	27.197525
886	7923	99.44664	27.213284
887	7987	99.576324	26.803139
888	8095	99.42272	26.805275
889	7931	99.48288	26.399181
890	8127	99.046844	26.675156
891	8059	99.49221	26.714273
892	8079	99.78824	26.551283
893	8194	100.20158	26.795134
894	8134	100.44828	26.45971
895	8263	99.97182	26.495264
896	8219	99.62316	26.477919
897	8251	99.95401	26.28853
898	8206	99.5338	25.815214
899	8407	100.02431	26.073606
900	8321	100.212715	25.724998
901	8484	99.89488	25.7493
902	8311	99.85797	25.770514
903	8364	99.37335	26.044373
904	8314	99.05729	26.1158
905	8282	99.15429	26.24888
906	8323	99.42064	25.837507
907	8323	99.7126	25.750877
908	8371	99.98788	25.380697
909	8491	99.81157	25.832008
910	8438	99.772545	26.325733
911	8241	100.22326	26.12952
912	8288	99.82137	25.984745
913	8296	99.49968	25.590496
914	8475	99.840065	25.400166
915	8501	99.841896	25.098923
916	8627	99.946106	24.835453
917	8669	99.451324	25.30816
918	8562	98.99249	25.583559
919	8501	99.100365	25.99085
920	8340	99.10803	26.433079
921	8165	99.24458	26.05061
922	8300	98.75677	26.239994
923	8145	98.688644	26.422293
924	8180	99.06306	26.31148
925	8098	99.12128	26.202456
926	8203	98.777115	26.66084
927	8011	99.07964	26.779045
928	8072	99.48116	26.339245
929	8230	99.36927	26.815683
930	8060	99.79091	26.416204
